Time,Error,Angle
98,4.035937,5.044922
377,13.28906,21.65625
476,-6.644531,0.1816425
751,-11.61563,-15.93803
848,12.84609,16.15982
1125,-1.082813,11.8326
1489,-13.87969,-7.988917
1586,7.136719,14.76114
1772,12.94453,33.61906
1871,-4.774219,16.25419
2238,-9.302343,3.539033
2333,13.28906,35.27907
2517,-1.96875,27.85548
2974,-13.23984,9.523867
3071,3.346875,24.63463
3259,-2.510156,19.84843
3717,-3.789844,14.89073
3814,10.77891,38.06406
3911,11.56641,53.78269
4005,-15.15937,16.58304
4370,-9.597656,5.238683
4467,10.72969,32.38818
4650,3.346875,34.44902
4744,-15.55313,1.735806
5017,-12.64922,-13.72936
5115,9.892969,13.55515
5391,7.284375,22.43564
5486,-14.32266,-10.17548
5669,-15.40547,-30.44748
5766,0.7382813,-18.93565
6226,2.264062,-15.6964
6322,-11.66484,-39.62517
6419,-9.745312,-51.24073
7085,6.152344,-41.88995
